"ipCountry","ipCountry_risk"
"",-2.33214389523559
"ad",-2.2082744135228
"ae",-3.2188758248682
"af",-2.75366071235426
"ag",-2.21920348405499
"al",-2.24070968927596
"am",-2.26176309847379
"ao",-2.2082744135228
"ar",-3.60730780042012
"at",-4.02209965534877
"au",-4.59005654817804
"aw",-2.2512917986065
"ax",-2.2082744135228
"az",-2.31253542384721
"ba",-2.23001440015921
"bb",-2.3887627892351
"bd",-1.88273124743378
"be",-4.12333209909535
"bf",-2.2082744135228
"bg",-2.45100509811232
"bh",-2.43361335540045
"bm",-2.47653840011748
"bn",-2.24070968927596
"bo",-2.21722524404289
"bq",-2.23001440015921
"br",-4.70048036579242
"bs",-2.45958884180371
"bw",-2.24070968927596
"by",-2.32238772029023
"bz",-2.29253475714054
"ca",-3.81189096269502
"cd",-2.27212588550934
"cg",-2.2082744135228
"ch",-4.98429131875665
"ci",-2.16645291866947
"cl",-3.66867674679642
"cm",-2.23001440015921
"cn",-3.38592990953137
"co",-3.2005266862
"cr",-2.6646997602286
"cv",-2.2082744135228
"cw",-2.28238238567653
"cx",-2.2082744135228
"cy",-2.43361335540045
"cz",-3.06805293513362
"de",-5.29199306240259
"dj",-2.23001440015921
"dk",-4.98975208317983
"dm",-2.26176309847379
"do",-2.52572864430826
"dz",-2.2512917986065
"ec",-2.63905732961526
"ee",-2.61006979274201
"eg",-2.484906649788
"es",-4.53323180427138
"et",-2.23001440015921
"fi",-4.31384512225781
"fj",-2.24070968927596
"fk",-2.2082744135228
"fm",-2.23001440015921
"fo",-2.29253475714054
"fr",-5.09325928278021
"ga",-2.23001440015921
"gb",-4.98613115580698
"gd",-2.26176309847379
"ge",-2.21920348405499
"gf",-2.26176309847379
"gg",-2.3887627892351
"gh",-2.3887627892351
"gi",-2.24070968927596
"gl",-2.26176309847379
"gp",-2.33214389523559
"gq",-2.21920348405499
"gr",-2.78295150927533
"gt",-2.43361335540045
"gu",-2.40694510831829
"gy",-2.23001440015921
"hk",-4.15318506224503
"hn",-2.43361335540045
"hr",-2.32060359849672
"ht",-2.29253475714054
"hu",-2.76631910922619
"id",-2.79829707894999
"ie",-4.30945594183905
"il",-3.66569611865828
"im",-2.31253542384721
"in",-3.59089904575373
"io",-2.2082744135228
"iq",-2.23001440015921
"is",-2.41428908257405
"it",-4.652494074235
"je",-2.3887627892351
"jm",-2.52572864430826
"jo",-2.34180580614733
"jp",-2.36314170841785
"ke",-2.4423470353692
"kg",-2.21920348405499
"kh",-2.46809953147162
"kn",-2.28238238567653
"kr",-4.62399194022868
"kw",-2.87919845729804
"ky",-2.35137525716348
"kz",-2.33214389523559
"la",-2.23001440015921
"lb",-2.29253475714054
"lc",-2.27212588550934
"li",-2.2512917986065
"lk",-2.36085400111802
"lr",-2.21920348405499
"lt",-2.35137525716348
"lu",-2.88480071284671
"lv",-2.54160199346455
"ly",-2.26176309847379
"ma",-2.20727491318972
"mc",-2.29253475714054
"md",-2.23001440015921
"me",-2.21920348405499
"mf",-2.23001440015921
"mg",-2.2512917986065
"mh",-2.21920348405499
"mk",-2.2082744135228
"ml",-2.21920348405499
"mm",-2.21920348405499
"mn",-2.26176309847379
"mo",-2.41591377830105
"mp",-2.2082744135228
"mq",-2.39789527279837
"mr",-2.00372971994414
"mt",-2.43361335540045
"mu",-2.2512917986065
"mv",-2.21920348405499
"mw",-2.21920348405499
"mx",-3.61181840797747
"my",-2.96010509591084
"mz",-2.35137525716348
"na",-2.31253542384721
"nc",-2.3887627892351
"ne",-2.21920348405499
"nf",-2.2082744135228
"ng",-2.61739583283408
"ni",-2.30258509299405
"nl",-4.15141478875215
"no",-4.96633503519968
"np",-2.21920348405499
"nz",-3.99972858584725
"om",-2.40694510831829
"pa",-2.66722820658196
"pe",-2.77258872223978
"pf",-2.35137525716348
"pg",-2.2082744135228
"ph",-2.97325941770193
"pk",-2.12026353620009
"pl",-3.57515068878559
"pm",-2.23001440015921
"pr",-3.54961738678043
"ps",-2.14539950947163
"pt",-3.45946628978613
"py",-2.47653840011748
"qa",-2.7408400239252
"re",-2.36085400111802
"ro",-3.53521315308036
"rs",-2.30258509299405
"ru",-4.79330812810349
"sa",-3.13883311719466
"sc",-2.2082744135228
"se",-4.38727599056003
"sg",-3.78844194365679
"si",-2.33214389523559
"sk",-2.51769647261099
"sn",-2.26176309847379
"sr",-2.24070968927596
"ss",-2.2082744135228
"sv",-4.07856413804108
"sx",-2.28238238567653
"sz",-2.2082744135228
"tc",-2.26176309847379
"tg",-2.2082744135228
"th",-3.15118081209685
"tn",-2.058388132482
"tr",-3.66612246699132
"tt",-2.53369681395743
"tw",-3.67122451887522
"tz",-2.35137525716348
"ua",-2.61006979274201
"ug",-2.2512917986065
"us",-4.46851214635123
"uy",-2.56494935746154
"va",-2.2082744135228
"vc",-2.23001440015921
"ve",-2.75539632169941
"vg",-2.27212588550934
"vi",-2.3887627892351
"vn",-2.31088389580874
"za",-3.50809517663887
"zm",-2.33214389523559
